rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
131188,498,Tianjin,Î_©_Ç«,39.085164,117.207281,308,280,10,51,32,34,14,11,1007,82,4,2.01E+13,1396004400
131658,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,178,95,16,43,14,16,16,14,1011,88,2,2.01E+13,1396015200
131711,36,Beijing,Îë„__å,39.955906,116.474246,272,135,24,56,20,8,12,7,1011,72,2,2.01E+13,1396026000
131723,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,153,61,24,40,7,8,16,15,1007,96,0,2.01E+13,1396026000
132103,498,Tianjin,Î_©_Ç«,39.085164,117.207281,242,0,4,39,30,30,11,10,1011,94,2,2.01E+13,1396033200
132574,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,161,77,2,27,6,18,13,13,1012,100,7,2.01E+13,1396044000
132627,36,Beijing,Îë„__å,39.955906,116.474246,78,64,11,16,4,9,14,2,1014,44,7,2.01E+13,1396054800
132639,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,154,56,7,32,12,9,17,17,1004,96,1,2.01E+13,1396054800
133019,498,Tianjin,Î_©_Ç«,39.085164,117.207281,262,123,6,35,37,28,17,7,1015,52,4,2.01E+13,1396062000
133489,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,127,46,12,19,17,12,24,15,1011,57,4,2.01E+13,1396072800
133542,36,Beijing,Îë„__å,39.955906,116.474246,74,62,36,5,2,18,23,-2,1011,19,4,2.01E+13,1396083600
133554,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,99,61,8,43,13,18,15,14,1004,95,1,2.01E+13,1396083600
133934,498,Tianjin,Î_©_Ç«,39.085164,117.207281,163,167,37,22,11,15,17,8,1012,55,11,2.01E+13,1396090800
134404,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,95,50,31,32,8,9,21,14,1008,64,11,2.01E+13,1396101600
134457,36,Beijing,Îë„__å,39.955906,116.474246,153,75,33,28,5,11,15,0,1014,36,4,2.01E+13,1396112400
134469,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,161,82,20,21,9,11,14,12,1011,91,4,2.01E+13,1396112400
134849,498,Tianjin,Î_©_Ç«,39.085164,117.207281,212,118,23,28,17,18,13,8,1015,72,7,2.01E+13,1396119600
135320,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,85,36,13,12,6,7,17,16,1006,94,7,2.01E+13,1396130400
135373,36,Beijing,Îë„__å,39.955906,116.474246,122,77,8,36,5,15,10,1,1016,54,7,2.01E+13,1396141200
135385,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,162,81,22,31,15,15,13,11,1014,88,2,2.01E+13,1396141200
135765,498,Tianjin,Î_©_Ç«,39.085164,117.207281,266,138,15,39,34,19,20,2,1017,30,9,2.01E+13,1396148400
136236,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,76,30,4,22,6,9,15,14,1008,94,16,2.01E+13,1396159200
136289,36,Beijing,Îë„__å,39.955906,116.474246,50,29,30,6,2,12,25,-11,1013,9,4,2.01E+13,1396170000
136301,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,162,75,38,20,10,12,18,11,1014,65,1,2.01E+13,1396170000
136681,498,Tianjin,Î_©_Ç«,39.085164,117.207281,153,76,37,33,12,9,23,-1,1014,20,11,2.01E+13,1396177200
137152,965,Chongqing,_ˆçÎ_Ê,29.560161,106.555275,78,35,15,18,5,7,15,13,1013,88,13,2.01E+13,1396188000
137205,36,Beijing,Îë„__å,39.955906,116.474246,155,85,30,46,6,9,18,-4,1016,22,7,2.01E+13,1396198800
137217,47,Shanghai,_Ÿ__µ‡,31.202842,121.453493,159,78,45,28,7,9,11,8,1016,79,0,2.01E+13,1396198800
